Country Code,Country,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,
AUS,Australia,,485325.37 ,492697.58 ,496585.22 ,498898.27 ,516302.95 ,522392.25 ,526970.29 ,534558.35 ,537848.37 ,542011.75 ,539171.83 ,540445.36 ,543593.86 ,533313.69 ,527325.58 ,,
AUT,Austria,,80431.54,84510.21,86198.60,91817.25,91574.92,92654.72,89831.66,87102.63,86950.87,80118.75,84930.84,82449.67,79916.89,80178.00,76441.57,,
BEL,Belgium,,149784.10,148169.71,147726.65,148081.68,149446.84,145405.69,142862.68,139115.03,139128.70,126226.30,132712.35,122057.80,119279.99,119691.09,114010.30,,
BRA,Brazil,573078.754,775840.13,791183.70,811625.77,846526.37,863894.87,881670.31,881781.75,910097.94,890514.88,954324.65,991691.00,1027739.00,1065097.35,1103813.67,1143937.33,,
CAN,Canada,,731598.57,720551.68,724720.73,742249.04,743561.68,732268.59,722795.89,744721.57,724113.00,681579.26,693966.83,699522.06,706703.37,715894.24,716165.76,,
CHL,Chile,,75501.42,73454.65,74562.83,75470.79,81247.87,82911.31,84153.58,93283.38,94179.68,90429.73,92114.16,102076.74,106595.65,109908.77,113324.87,,
COL,Colombia,56305.297,69532.05,69318.09,72072.53,73503.18,75498.99,84035.02,86379.84,88443.83,96434.12,94429.02,93578.45,100201.03,107292.29,114885.40,123015.87,,
CZE,Czech Republic,,149002.60,148721.28,145101.17,148335.32,149178.39,146992.78,148390.07,150125.41,145410.44,137078.79,139571.94,137538.72,133472.35,128483.26,126566.91,,
DNK,Denmark,,71387.63,73116.32,72663.67,77734.60,71631.53,67212.45,74971.04,70396.95,66731.39,63887.90,64492.40,59250.76,54496.34,56262.52,52129.39,,
EST,Estonia,,17305.06,17705.28,17162.93,19052.93,19317.59,19145.01,18438.81,22165.60,19984.01,16662.04,21131.08,21156.85,20080.57,21846.65,21066.25,,
FIN,Finland,,70044.07,75416.41,77877.26,85449.83,81707.45,69687.15,80965.64,79317.43,71269.02,67616.81,75461.66,67735.66,62265.18,63003.56,58854.73,,
FRA,France,,554706.88,559801.78,553229.98,557950.60,555779.38,557435.02,545578.45,536418.86,530044.94,506996.47,516805.45,489803.24,490337.17,489883.23,460707.64,,
GER,Germany,,1044968.80,1059910.20,1038707.45,1035331.59,1018904.13,993091.09,1000325.08,973429.09,975281.03,908183.79,942783.09,920304.96,924628.11,942004.48,902676.18,,
GRC,Greece,,126346.42,127398.95,127395.40,131131.72,131814.31,136281.25,132390.97,134996.58,131716.46,124466.01,118363.64,115387.58,112084.28,102501.04,99088.29,,
HUN,Hungary,,73395.03,75518.84,73809.67,76955.22,75978.65,75765.47,74568.18,72808.82,71030.95,64964.19,65343.57,63799.09,60065.36,57253.44,57941.85,,
IDN,Indonesia,,537949.00,545911.00,559139.00,583101.00,590736.00,610242.00,607947.00,629710.00,628562.00,685711.00,726262.00,757250.00,796579.00,864948.00,907334.00,,
IRL,Ireland,,68554.68,70555.06,68498.29,68714.97,68008.14,69542.68,68814.81,68056.05,67341.18,61601.17,61232.52,57106.29,57736.27,57614.86,57316.31,,
ISR,Israel,,67162.86,70673.38,71118.09,71565.59,72015.91,72547.66,73950.80,77108.61,78617.96,74759.39,77451.82,79418.94,85265.85,79331.59,77270.31,,
ITA,Italy,,554464.10,561319.06,561291.96,576217.01,580539.96,580851.22,570049.46,561699.51,548118.09,495213.09,503989.47,491377.62,471609.13,441221.79,425276.99,,
JPN,Japan,,1372245.17,1346671.02,1370519.50,1376437.85,1368661.94,1375401.33,1352965.00,1390788.90,1318521.59,1246117.88,1300302.15,1350969.91,1393114.77,1407395.86,1359669.31,,
KOR,Korea,,500870.00,514003.00,535339.00,546108.00,554950.00,558911.00,564202.00,578949.00,592097.00,596554.00,656204.00,681794.00,685926.00,695202.00,689159.00,,
MEX,Mexico,,536410.97,530532.17,550267.25,552626.21,560563.60,578149.18,601095.70,633980.59,679409.21,658429.33,656572.17,668644.02,658944.00,668544.05,670014.46,,
NLD,Netherlands,,219056.47,219569.64,217836.10,218298.54,219703.67,214084.75,209028.02,207517.32,206896.69,201186.46,213171.58,199065.48,194254.76,194216.85,186293.26,,
NZL,New Zealand,,76102.25,78822.23,79366.77,81750.04,81300.42,83278.23,83325.51,80984.93,80877.76,78256.61,78672.07,78515.56,80847.38,80151.36,80876.97,,
NOR,Norway,,54598.16,55875.95,54778.22,55357.93,55964.51,55046.33,54820.98,56696.45,55186.36,52564.22,55136.35,54181.67,53702.58,53436.08,53246.47,,
POL,Poland,,389605.48,388560.83,378613.08,392461.30,397285.74,397661.47,412248.76,412806.76,405438.80,387661.86,405972.67,405381.45,398129.42,394681.29,381830.77,,
PRT,Portugal,,83141.82,82766.23,86823.40,81667.76,84879.79,86806.47,82061.05,79786.01,77122.19,73963.50,69942.80,68818.60,66945.45,65133.51,65085.72,,
RUS,Russia,3734344.761,2309086.02,2319301.90,2393722.90,2443495.21,2472205.16,2544866.33,2554289.04,2586123.67,2456620.19,2573184.52,2634906.05,2674245.81,2614875.12,2619990.83,2629877.47,,
SVK,Slovak Republic,,49570.62,52070.72,50139.15,50481.35,51227.12,51149.27,50952.96,49063.65,49650.51,45289.35,46259.96,45250.66,43042.49,42635.43,40472.30,,
SVN,Slovenia,,19074.90,19984.64,20174.62,19895.47,20233.65,20549.40,20742.31,20891.16,21609.72,19642.34,19664.66,19674.33,19104.44,18400.65,16668.11,,
ESP,Spain,,385572.18,383100.55,401583.37,409170.25,424452.21,439069.85,432287.12,443469.10,409930.04,370641.30,355882.31,355441.02,348927.28,321918.21,324326.47,,
SWE,Sweden,,68648.97,68986.77,69931.77,70349.64,69415.05,66722.23,66641.04,65048.48,62698.43,58483.27,64411.70,60324.76,56980.19,55414.40,53866.38,,
SWZ,Switzerland,,52195.05,53784.22,52199.83,53380.16,54019.64,54623.69,54302.09,52379.83,53905.82,52557.75,54137.27,50086.47,51436.66,52281.57,48358.92,,
TUR,Turkey,,293494.16,274402.58,280820.48,300349.42,311221.69,332654.16,356822.67,390457.97,387913.15,395867.43,402563.69,431407.02,445631.48,438981.70,451808.67,,
GBR,United Kingdom,,716796.65,719818.56,699900.82,707397.40,704302.00,696658.13,689565.44,677702.77,656974.49,601100.52,615516.97,568004.42,584481.23,569920.44,529160.04,,
USA,United States,,7216645.32,7100821.60,7139381.26,7180533.86,7313761.39,7320276.72,7251841.92,7351465.39,7145128.59,6698061.59,6922945.80,6771119.19,6528790.27,6709106.69,6763141.33,,
TOT,Total,,20046414.50,19975005.80,20160884.70,20447847.34,20681287.15,20816040.21,20768357.63,21051667.60,20563257.62,19885822.04,20493316.26,20417545.73,20222232.51,20469450.17,20404305.75,,